-1,climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom,792927353886371840
1,Fabulous! Leonardo #DiCaprio's film on #climate change is brilliant!!! Do watch.,793124402388832256
1,Just watched this amazing documentary by leonardodicaprio on climate change. We all think this,793124635873275904
1,It's vital that the public health community addresses climate change- viaTabola #APHA2016,793127915269480448
1,"Bangladesh did not cause climate change, so the country does not need aid; instead it needs compensation for the",793129746003615745
1,Now's the time: we need a strong #FTT that works for those hardest hit by climate change and poverty!,793130016410365957
1,One of the easiest ways to help combat climate change in your daily life is to stop eating beef. Here's why,793131033482829824
-1,"arseholes couldn't predict tomorrows weather in a 4 month heat wave, yet we trust them on climate change! narrr",793135386558070785
1,"Florida,Trump defied Cuba embargo&lied to you about it.Also,he doesn't believe in climate change which will affect",793135814003699712
1,"We must combat climate change. Indigenous ppl are protesting for our earth, our water. Yet this happens",793136121165312001
1,"Everyone should take the time to watch climate change docufilm with Leonardo DiCaprio, time to be about it and stop talking about it",793136536724398080
0,should we care about the economics when fighting climate change?,793138073542549504
0,"if not for climate change information, watch Before the Flood because Leonardo DiCaprio",793140314278023168
0,"""Niggas asked me what my inspiration was I told them global warming""",793140458893381632
0,Team energy/climate change we should check this out #McGgovt,793140748812226565
1,global warming real as hell. al gore told us. leo dicaprio keep tryna tell us. its 82 degrees and its halloween. sumn aint r,793141154657239040
1,"If climate change goes unchecked, many areas in southern Europe could become deserts. #scary",793144222987722757
1,"I watched it just now. Everybody, esp., world leaders must stand together and act on climate change.",793147054939705344
1,"I'm creating a new think tank for climate change, would you join and post your tweet also at ?",793147573376839680
1,Nicely said: 'Financiers are not philanthropists. But (...) allies in the fight against climate change' [in French],793149247730356224
1,why aren't you vegan? meat industry contributes GREATLY to climate change and deforestation!,793152052037836800
1,It's #2016 and I can't believe people still don't believe in climate change its effing science.,793156261860618241
1,Respecting First Nations sovereignty. Fighting petrocapitalism. Standing up against climate change. Get after it. #NoDAPL,793156295671083008
1,A huge climate change victory just happened in Rwanda - and few people noticed,793158687225356288
0,"I asked my dad to watch this documentary that just came out on climate change, and legit turned it into a trump vs hillary thing",793158746629345280
1,When everyone's glad it's 80 degree weather in October but you can't stop thinking about global warming,793159873450106881
0,"Al Gore, creator of the internet and global warming.",793160340515106816
1,yes wrote that in 3rd yr Comp Sci ethics part. Was told by climate change denying Lecturer that I was wrong & marked down.,793164419261865984
1,I don't get why climate change is a political issue when it is clearly a scientific fact.,793165643461828608
0,How do ghosts cool their environment and could we use that to combat global warming? #funny,793165856553459712
1,It's like not believing in global warming. You opposing war doesn't make the world a peaceful place.,793166227661172736
0,"AL. I might be related to wright brothers, and i think I just solved global warming. I sent emails to everyone!",793168139777298432
1,if you don't believe in global warming come to tallahassee rn,793170553100263425
0,and with climate change we can expect asteroids to become more frequent and powerful,793172178250391552
1,I swear if it's 80 degrees on Christmas again I will personally defeat global warming. Revenge is a dish best-served cold,793174254611070976
1,"Exactly, fixing the economy & addressing climate change w/ an emergency #GreenNewDeal IS 'dire,' .",793178862674776065
