1,3 Ways Climate Change Impacts Our Pets -
0,"Romney is the big conservative. He believes in Global Warming, open borders, amnesty, etc."
0,Rick's Rant - Proportional Representation via 'its like Darth Vader meeting Ewoks to fight climate change”
-1,Are Environmentalism and Global Warming Effectively Religious Socialism?
1,#FeelTheBern at the polls so the earth doesn't have to feel the burn in its climate! Join the #PoliticalRevolution
1,While you argue who should be Nina Simone this is what's goin on in the world. Polar bears dying from climate change
1,YOU NEED THE EPA CLIMATE CHANGE IS FUCKING REAL STOP FUCKING DENYING IT. GOD FUCKING DAMMIT.
0,found on #fastcompany: This Weather Station On A Bike Records Climate Change At The Local Level
1,"Let Look at Global Warming Potential next College of Energy ,Environment &amp; Sustainability; Petrol,Diesel Morning i discussed a lot ,just"
1,Trump thinks global warming is a hoax perpetrated by the CHINESE! Wtf?!
1,My view on: We Can't Rely On Market Forces Alone To Fix Climate Change
1,Amazing how many idiots have not one clue about climate change. It's very sad and dangerous.
1,Will biggest danger from global warming be the change in diets?
1,February just set an absolutely shocking new record for global warming
1,#Bernie2016: $15 Min. Wage Medicare For All Stop Climate Change Free College Legalize Marijuana #KSCaucus #NECaucus
1,"It's so warm that snow has to be shipped in for the Iditarod, Alaska's annual dog sled race. Thanks climate change."
0,get you a man who can stop global warming
1,The Fight To Hear Debate Questions On #Climate Change In A State Struggling With Sea Level Rise via
1,"NEW: #Water, #climate change and peace: Lessons from 3 years in #Colombia"
1,Millions of the world’s poorest are farmers. They will be hit hardest by climate change
1,Why we need action now: world's poorest cities can't cope with climate change
0,#WhenICameBackFromSpace I was found responsible for global warming due to all the methane I released in space
1,Join the conversation on climate change. Take the pledge &amp; let's talk #50by30.
0,Stephen Colbert’s Opinion On Climate Change
1,The mercury doesn’t lie: very troubling climate change milestone
1,does not support fracking and his plan to combat climate change is the strongest. Here
-1,corrupt Politicians have their fingers in the trough with the UN. Climate Change paying murdering Dictators everywhere!👎
1,The Unexpected We Expect: Planning in the Age of Climate Change
-1,"They report on climate change all the time, its called the daily weather news"
1,"In the Arctic, Even Climate Change's Tiniest Victims Have Big Impacts"
1,Worrying trend in the British press: columnists instead of environmental correspondents write about climate change
-1,"For #Dems Science doesn't apply to Biology, but it is gravely relevant to mimic those who balk at global warming."
0,interesting that it chooses to omit his potentially divisive charity work on climate change
1,“Global warming is now in overdrive”: We just hit a terrible climate milestone
1,"59% of GOPers in the House, 70% in the Senate deny consensus that climate change is happening &amp; humans r main cause"
1,21 mayors from Florida join the growing chorus demanding that networks address climate change in pres. debates
1,"Guaranteed housing &amp; employment, universal healthcare &amp; income, free public ed, access to transportation, fighting climate change."
1,"Hayward: Building a consensus on climate change? Not so easy, after all. #communityscene"
1,The US and Canada: let&amp;#039;s talk climate change - Energy Global #climate
1,#DemDebate Any chance of talking about climate change?
1,"Join , and me tomorrow in Miami for our panel, 'Climate Change &amp; Economic Opportunity.'"
1,Answer the call from FL mayors: ask about climate change at the #GOPDebate
1,Greenland: Impacted by climate change: via
0,It's you people and your evil farts that are causing climate change 😭😭😭😭😭.
0,global warming has become eu swarming 😆😆😆
1,Climate Change Champion sponsored by goes to... David Hodson! Well done! #ylsawards16
0,CNN asks about climate change?? Whoa! A tough question! #shocker #gopdebate
1,you are not in favor of clean environment. There is no denying that global warming is a fact.
0,Pledge on climate change? Consensus? Not from Rubio:“Climate always changing... no law to change the weather.' Says America is not a planet.
1,"kasich just admitted climate change is manmade, I think"
1,Actually only one political party in the world does not accept the scientific consensus on climate change. Who could that be? #GOPDebate
1,The GOP on climate change. #CNNDebate #GOPDebate
1,Worst response to climate change ever #GOPDebate
-1,#Kasich is a global warming idiot. Does he know this is a Republican debate? Global warming is a complete hoax. #GOPDebate
1,Republican candidates deny climate change because they’re “not scientists.” #GOPdebate
1,Wondering how you can do more to fight #climate change? Check this out via #globalwarming
0,People may forget Canadians haven't yet gone batcrap crazy from the heat caused by climate change.
-1,#GOPDebate: Why you shouldn't overreact to the 'climate change' hysteria
0,"Global warming for k, that sounds familiar :) #ShowtimeSaturYey"
0,If we painted Kim K's naked selfie on a glacier would you finally start paying attention to global warming.
-1,Witch hunt: Look what Obama admin is planning for climate change 'deniers'
1,"Because US of A can nuke ISIS any time they deem necessary, but not Climate Change."
1,"Despite the campaign rhetoric, the next president will have to deal with climate change."
1,Fox's grossly distorts '#ExxonKnew' #climate change scandal #globalwarming #journalism
0,ask Siri about global warming p.s i love you you are the best YouTuber in the world
0,"FYI, we call it climate change now."
1,Global Warming is real. Look at Kilimanjaro.
1,"Climate change, risk of terror &amp; lack of jobs are the big issues of the world today - #GLFImpact"
-1,"The QC, Alberta and Ontario government scam in the name of countering climate change"
1,Was Indonesia's violence in the 90s related to changes in rice production (a proxy for climate change)?
1,"who are your friends? that is a question in #DemTownHall what a useless questions, ask about Climate change!!!! damn it."
1,"There should be more questions about climate change and policy. Bernie had no Q’s, Hillary for ‘regulating’ fracking (ugh!) #DemTownHall"
1,Science can now link climate change with some extreme weather events
1,Tony Simons DG: Need to fund rural economies to become more resilient to climate change. #IFF
1,#Pakistan's big threat isn't terrorism - it's climate change
1,It’s official: We can now say global warming has made some weather events worse
1,I wish people cared as much about climate change as they do their eyebrows.
1,The evidence for climate change WITHOUT computer models or the IPCC
1,#BreakThroughEnergyCoalition It's taking weeks 2 get a follow up response to my Climate Change Solution? R U serious
1,"Climate change and conservative brain death, by "
1,Bernie says he views climate change as an imminent threat - like a military threat. Fantastic framing. #DemTownHall
1,There you go! Stop using natural resources &amp; go back to using ones that pollute &amp; cause global warming!!
1,4 guiding facts behind MacArthur’s endeavor aimed at reducing climate change
0,"Other people's concern: Global warming, economy, nuclear energy My concern: Nagpur mein India ko pehle batting krni chaiye ya bowling.."
1,"The #US should take seriously climate change. So far, that hasn't happened."
0,Shell says carbon tax better An oilman’s $7 billion refresher course in the economics of drilling and climate change
1,Climate change deniers are similar to brain damage deniers in the NFL
1,Climate change is forcing Peruvians to adapt to dangerous levels of UV radiation
-1,"I Don't Always Slap The Sh*t Out Of Hillary Supporters, But When I Do, I Blame Climate Change 😂"
1,GOODBYE RUBIO!!! Global warming is as real as how shitty your campaign was :) take care
0,"Hurrah 4 war, climate change &amp; fascistic 'free-trade agreements,' Trojan horses 4 corp. rule"
1,'Trees Deal With Climate Change Better Than Expected' by TATIANA SCHLOSSBERG via NYT #protegoAU #Science
0,build a biG OL' WALL keep the global warming out of our country
1,Nah. How about: 1. Climate change 2. Fascism 3. Income inequality 4. Mass surveillance
1,Let’s turn up the heat on Climate Change tonight! Part 1 of WARMER: 8PM on ANC. Watch it in HD on SkyCable ch 182!
0,Climate Change Author Speaks in Haverhill March 29
1,Climate change isn’t just a problem for the future – the impacts are apparent here and now. We must act boldly.
1,Let's bring the joy in conserving energy and reduce climate change during #EarthHour tomorrow! :)
1,"The greatest problems we now face r global climate change, income inequality &amp;White privilege"
1,Climate change is no keg party! It’s brewing trouble for beer #StPatricksDay
0,"The #Greens stuff a working Climate Change policy with Clive Palmer, now attack Labor seats this election. #auspol"
1,"Without women, African agriculture won't withstand climate change"
1,Top 6 Climate Change Problems - Suspicious0bservers - Climate Change | Space Weather | Astronomy
1,Is #capitalism driving #climate change? #climatechange
0,I respect Clive James + his 80s TV contribution. But dodgy climate change pose aside his poetry has always been bad
1,Americans finally realize that we cause climate change
1,Many humans don't care about climate change because it doesn't affect them personally at this moment
1,"Urgent Choice: Without a Swift Switch to #Renewables, Dangerous #Climate Change May Be Imminent"
1,"supports #EarthHourMV - This Earth Hour, Shine a Light on Climate Change."
1,This photo by Kerstin Langenberger shows how polar bears are being affected by climate change.
1,Technology in renewable energy key to mitigate climate change: Al Gore #green
1,Why you shouldn't trust climate change deniers
1,"At #Arctic summit, #climate change is inevitable and irreversible on KTOO"
1,"Students, pupils take the cue from Roger Milla, add their voices against climate change and plant trees"
1,Turning off our lights. Saving our planet. Winning over the climate change. Making better and greener future. #ISFEarthHour 💜🌎😉
1,"Global warming is real, Climate change is real, Your actions should also be real to make a difference!"
-1,Judge Orders White House To Stop Hiding Its Bogus Global Warming 'Proof' via
1,"Wrap up on climate change talks, discussing solutions and what to be done. #PiliPinasDebates2016"
0,#RedNationRising Sam Kazman on California's Global Warming Lawsuit
0,"'I have about 500 days left, I'm going to use them,' Piers Sellers on climate change 1:45 pm ET"
1,"Climate Change This Week: Frying February, Minimizing Methane, and More! - Huffington Post"
1,"Jacquie Lambie is correct we can't stop climate change we need to prepare for it now, thanks to decades &amp; decades of ignorance.#qanda"
0,"Did you ask about climate change?Frydenberg lives in the 1950s &amp; clearly has no idea,He really annoyed me - weak man..#qanda"
1,Climate change is a scary reality 4 Pakistan as seen by heat wave in khi;let's pledge 2 reverse it #OneTreeOneLife
1,Thank you Todd Stern for your service &amp; leadership on #climate! Congratulations Jonathan Pershing! #ActOnClimate
-1,WUWT: Bangladesh blames Global Warming for Water Shortage #TGDN #tcot #tlot
0,French wine getting better? Thank climate change
1,How to talk about climate change with skeptics
1,Say the people who ban scientists from using the words 'climate change.'
0,Pulled some evidence out about climate change being caused by witches
-1,I wonder when and will blame Global Warming for the attacks in Brussels??
-1,We need to stop this bigoted Climatechangeophobia nonsense right now. Not all climates are evil #IWillClimateWithYou
1,Why Climate Change Means Better French Wine ... At Least For Now
1,#science #world Why Climate Change Means Better French Wine ... At Least For Now - Newsy: Wh... #news #wetenschap
1,Can we move past it already? Climate change is real.
1,#GlobalWarming #Earth – Global Warming Coming Faster And Harder Than We Think:… #Science
1,Poor women are among those most affected by climate change #CSW60 #Planet5050
1,Elitism and climate change denialism by
-1,If they can't predict tomorrow weather? How are they predicting future global warming? No one knows what's next #weatherfail #canada
1,Inspiring - &amp; talk democracy &amp; climate change at the VML office #virginreeladvocacy
1,What drives species change in the UK? Answer = agriculture &amp; climate change
0,PRIMARY DEBATE SCORECARD: Climate Change Through 20 Presidential Debates
1,Mass extinctions and climate change: why the speed of rising greenhouse gases matters via
1,What do today's investors need to know about carbon risk &amp; climate change?
1,"Apocalypse now? Loss of coastal cities? Ice melt, sea level rise &amp; superstorms: 2° global warming could be dangerous"
1,"'In Global Efforts to Address Climate Change, Electrical Engineers have Crucial Role' #climatechange"
1,'Climate Change Is Doing Something Horrifying To Wine' Yes #science #feedly #wine #alcohol
1,Leading climate experts raise alarm on CO2 emissions &amp; global warming: #ClimateChange #UNEA2
1,"Brussels survived this week’s terrorist attacks, but it may not survive climate change."
0,This is me reading any recent article about climate change.
1,"'With climate change, longer and harder #droughts will be the new normal.”"
-1,Obama’s flight(s) to Argentina proved how serious he is about acting on climate change | #tcot
-1,Global Warming 'Fabricated' by NASA and NOAA - Breitbart
1,Here's your chance to call on more climate change discussion during this election cycle
1,Nearly All Meteorologists Accept The Fact That Climate Change Is Happening #p2
0,between man and climate change. That's the statement they were in agreement with. 97 out of 2000.
0,#jobs4u #jobs Business Council on Climate Change SunShares Manager #business
-1,no evidence that climate change is related to fossil fuel emissions
0,"Ingrid Gevers, Centre for Development Innovation, introduces international course on climate change"
0,would need to be electric smart car due to climate change.
