-1,climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom
1,Fabulous! Leonardo #DiCaprio's film on #climate change is brilliant!!! Do watch. via
0,Leonardo DiCaprio's climate change documentary is free for a week #INDIGENOUS #TAIRP
1,It's vital that the public health community addresses climate change- viaTabola #APHA2016
1,Now's the time: we need a strong #FTT that works for those hardest hit by climate change and poverty!
1,Watch Leo DiCaprio's climate change doc online for free before the world ends
1,Here's how climate change will affect sea level rise (and flood cities) as the world warms
-1,"arseholes couldn't predict tomorrows weather in a 4 month heat wave, yet we trust them on climate change! narrr"
1,"We must combat climate change. Indigenous ppl are protesting for our earth, our water. Yet this happens"
0,National GeographicÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube via
1,"Everyone should take the time to watch climate change docufilm with Leonardo DiCaprio, time to be about it and stop talking about it"
1,"BoingBoing: Watch Before the Flood, an urgent call to arms about climate change"
0,should we care about the economics when fighting climate change?
1,"its like that in alot places now, it's called climate change"
0,"if not for climate change information, watch Before the Flood because Leonardo DiCaprio"
0,Ã¢â‚¬Å“Niggas asked me what my inspiration was I told them global warmingÃ¢â‚¬ï†
0,Team energy/climate change we should check this out #McGgovt
1,A web of truths: This is how climate change affects more than just the weather. #ad
1,"If climate change goes unchecked, many areas in southern Europe could become deserts. #scary"
1,Did you miss the premier ofclimate change documentary #BeforeTheFlood yesterday? Catch up here &gt;&gt;
1,"I watched it just now. Everybody, esp., world leaders must stand together and act on climate change."
1,"IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at ?"
1,Nicely said: 'Financiers are not philanthropists. But (...) allies in the fight against climate change' [in French]
1,Are we too late to fight climate change? #YearsProject
1,"Trump, who once called climate change a hoax by the Chinese, tells Michigan crowd: 'I'm an environmentalist.'"
1,why aren't you vegan? meat industry contributes GREATLY to climate change and deforestation!
0,Watch Leonardo DiCaprio's climate change documentary #BeforeTheFlood for free online
1,"Climate change is widely accepted, but these 9 global warming effects may still surprise you."
1,Ã‚Â«The Mediterranean will become a desert unless global warming is limited to 1.5CÃ‚Â»
1,It's #2016 and I can't believe people still don't believe in climate change its effing science.
1,Respecting First Nations sovereignty. Fighting petrocapitalism. Standing up against climate change. Get after it. #NoDAPL
1,A huge climate change victory just happened in Rwanda Ã¢â‚¬â€ and few peopleÃ‚ noticed
0,"I asked my dad to watch this documentary that just came out on climate change, and legit turned it into a trump vs hillary thing"
1,When everyone's glad it's 80 degree weather in October but you can't stop thinking about global warming
0,"Al Gore, creator of the internet and global warming."
0,Watch on #Periscope: global warming Winston Neace
1,yes wrote that in 3rd yr Comp Sci ethics part. Was told by climate change denying Lecturer that I was wrong & marked down.
0,National Geographic's climate change doc with DiCaprio is on YouTube
1,I don't get why climate change is a political issue when it is clearly a scientific fact.
0,How do ghosts cool their environment and could we use that to combat global warming? #funny
1,It's like not believing in global warming. You opposing war doesn't make the world a peaceful place.
0,"AL. I might be related to wright brothers, and i think I just solved global warming. I sent emails to everyone!"
1,"9 ways global warming is affecting daily life: Lakes disappearing, drinking water supply at risk via"
0,"Term 'global warming' was more controversial, among conservatives than 'climate change'. Liberals didn't care. #sciwri16"
0,Watch Leonardo DiCaprio's climate change documentary free for limited time
1,if you don't believe in global warming come to tallahassee rn
1,We just entered an alarming 'new era' of global warming via
0,and with climate change we can expect asteroids to become more frequent and powerful
1,I swear if it's 80 degrees on Christmas again I will personally defeat global warming. Revenge is a dish best-served cold
1,Listen to 58 years of climate change in one minute (via and )
1,"Exactly, fixing the economy & addressing climate change w/ an emergency #GreenNewDeal IS 'dire,' . Ã°Å¸Å’Â³¢â‚¬Â¦"
1,"Is this who we really want to be? A nation with a leader who promotes bigotry, racism, anti-women, anti-journalism, anti-climate change?"
1,#Halloween's ok but if you really wanna get scared watch this new ¢â‚¬â€¹ climate change doc with
1,"100% agree with on climate change. The choices in this election look to be 100 steps backwards, 50 steps forward, or zero."
0,75 degrees in StL on last day in October. I am all for this global warming hoax!
