"sentiment","message","tweetid"
1,"When I hear ppl say man is not driving climate change, I think of that football player who doesn't believe in dinos…",862772397166002178
1,We can't address climate change if we don't address corporate capture of the food system #GAID2017,862776230227185665
0,"Is there an advocate around, on global warming that can answer my questions?",862866663313747968
1,When we tried to help to control global warming.… …,862886980421427200
1,"Can't believe no one has said this. But absolutely long term it is climate change, especially what w…",862892352175710208
1,"conservatives will ask for proof of climate change, get it, and then continue to deny it. i'm fucking dumbfounded http…",862905082441940992
1," The battle for Laikipia: Can weak states stand up to #climate change, population growth and ethnic populism?…",862922295354036225
-1,Gore left his failed bid in 2000 with very little money. He has made mucho $ since on his global warming hoax.,862932817940029441
1,"Earth could hit 1.5 degrees of global warming in just nine years, scientists say #StopFundingFossils",862950228089081856
0,"YourNewBooks: Androids Rule The World due to climate change, but not for long. #scifi #99c …",862950422398545920
1,"But, but, but climate change is debatable.  We are going to be standing in 2 feet of water in Manhattan and they s…",862983061402767360
1,A climate change checkup on spectacular coral reefs. Watch awesome explaining this crucial issue!…,862983123390394368
1,"To curb climate change, we need to protect and expand U.S. forest",862986799093886976
1,from children are most vulnerable to climate change,862990244550987776
1,Tech and cash is not enough when it comes to health and climate change,862998303423778817
0,It's EXTREMELY disappointing when I think of a BOMB AF layered winter look that I want to wear but I remember that global warming exists,863029138491355144
1,U.S. just signed a document calling #climate change a “serious threat” to the Arctic & noting the need for action http…,863052985705701376
0,global warming is just a hoax to distract us from the fact that lil wayne wore socks in a jacuzzi,863090106550431744
0,"Denying climate change is real, but let's celebrate how we will overcome the power of Obamacare, another 20 million more",863154983704965121
1,"Hell, with Antarctic ice shelves breaking off due to climate change, a Titanic fate would be an irony none too rich!",863155011697725442
1,"I’m creating a new think tank for climate change, would you join and post your tweet also at ?",863176169709064193
1,SCOOP: Trump expected to nom Sam Clovis -a climate change 'skeptic' w no science background- as USDA's top scientist ht…,863218027394891776
0,And this mother fucking rain too! Like ok Washington Im so over it. I vote climate change. switch our weather with LA. 2 *Puh*(oor) 2 move,863317154166222849
1,Crazy that Smashmouth has a more progressive stance on climate change than the US government,863327873544966144
1,people worried abt egypt's falling economy and not realising we're all dying bc of global warming lol,863344602736209920
1,"Trump's likely pick for top USDA scientist never took a grad class in science, is openly skeptical of climate change http…",863357649999597568
0,100 most popular slogans on climate change #climatechange2,863374473809903616
